Annee,Mois,TauxControle
2023,11,0.38568491952077644
2023,12,0.34087796150270266
2024,1,0.33909818629214267
2024,2,0.43667851310640887
2024,3,0.4430043051456921
2024,4,0.41519391734698674
2024,5,0.41422906428253015
2024,6,0.3646813989170869
2024,7,0.3967371237476194
2024,8,0.3079646349912527
2024,9,0.31602072563481726
2024,10,0.4143069228769993
2024,11,0.28260960494911835
2024,12,0.3666785070938596
2025,1,0.30019781051468525
2025,2,0.551507359027496
2025,3,0.3631292155786617
2025,4,0.3227557353808352
2025,5,0.3607941466785683
2025,6,0.27402740802642855
2025,7,0.32469826082124
2025,8,0.302607850783451
2025,9,0.2897414001850057
2025,10,0.27207559201418474
