LiaisonId,EstFerie,EstVacances,liaison_frequence
335,False,False,21.0
336,False,False,10.0
337,False,False,12.0
338,False,False,596.0
339,False,False,452.0
340,False,False,1159.0
341,False,False,47.0
342,False,False,131.0
343,False,False,1244.0
344,False,False,1.0
345,False,False,1.0
346,False,False,3.0
347,False,False,18.0
348,False,False,122.0
349,False,False,62.0
350,False,False,55.0
351,False,False,13.0
352,False,False,119.0
353,False,False,64.0
354,False,False,27.0
355,False,False,944.0
356,False,False,964.0
357,False,False,1270.0
358,False,False,2331.0
359,False,False,2107.0
360,False,False,1262.0
361,False,False,1233.0
362,False,False,1691.0
363,False,False,206.0
364,False,False,780.0
365,False,False,52.0
366,False,False,10.0
367,False,False,23.0
368,False,False,11.0
369,False,False,11.0
370,False,False,878.0
371,False,False,497.0
372,False,False,1477.0
373,False,False,49.0
374,False,False,150.0
375,False,False,1588.0
377,False,False,9.0
378,False,False,30.0
379,False,False,202.0
380,False,False,99.0
381,False,False,74.0
382,False,False,19.0
383,False,False,137.0
384,False,False,66.0
385,False,False,25.0
386,False,False,158.0
387,False,False,797.0
388,False,False,953.0
389,False,False,1052.0
390,False,False,486.0
391,False,False,668.0
392,False,False,872.0
393,False,False,130.0
394,False,False,704.0
395,False,False,712.0
396,False,False,253.0
397,False,False,660.0
398,False,False,725.0
399,False,False,990.0
400,False,False,1001.0
401,False,False,569.0
402,False,False,710.0
403,False,False,1349.0
404,False,False,197.0
405,False,False,654.0
406,False,False,680.0
407,False,False,3531.0
408,False,False,428.0
409,False,False,1448.0
410,False,False,6376.0
411,False,False,18.0
412,False,False,33.0
413,False,False,11.0
414,False,False,12.0
415,False,False,1554.0
416,False,False,991.0
417,False,False,2701.0
418,False,False,113.0
419,False,False,316.0
420,False,False,2855.0
421,False,False,11.0
422,False,False,51.0
423,False,False,273.0
424,False,False,181.0
425,False,False,129.0
426,False,False,30.0
427,False,False,352.0
428,False,False,114.0
429,False,False,52.0
430,False,False,259.0
431,False,False,389.0
432,False,False,3298.0
433,False,False,342.0
434,False,False,1120.0
435,False,False,54.0
436,False,False,21.0
437,False,False,27.0
438,False,False,14.0
439,False,False,8.0
440,False,False,1215.0
441,False,False,759.0
442,False,False,2161.0
443,False,False,76.0
444,False,False,218.0
445,False,False,2275.0
446,False,False,11.0
447,False,False,1.0
448,False,False,22.0
449,False,False,193.0
450,False,False,152.0
451,False,False,96.0
452,False,False,35.0
453,False,False,224.0
454,False,False,89.0
455,False,False,33.0
456,False,False,25.0
457,False,False,2313.0
458,False,False,370.0
459,False,False,1107.0
460,False,False,49.0
461,False,False,12.0
462,False,False,21.0
463,False,False,7.0
464,False,False,15.0
465,False,False,1090.0
466,False,False,520.0
467,False,False,1540.0
468,False,False,48.0
