Date,VolumeReel,VolumePredit,Ecart
2025-09-06,66958,68689.33707017302,-1731.3370701730164
2025-09-07,62600,66315.40784273401,-3715.4078427340137
2025-09-08,56403,58316.17430248523,-1913.174302485233
2025-09-09,54598,57415.420076750626,-2817.4200767506263
2025-09-10,55723,58134.61725968066,-2411.6172596806573
2025-09-11,52670,56860.81715522292,-4190.817155222918
2025-09-12,55173,56714.403878970355,-1541.4038789703554
2025-09-13,67717,64398.69086153943,3318.3091384605723
2025-09-14,66182,64273.13675353639,1908.8632464636103
2025-09-15,54825,56528.18742271542,-1703.1874227154185
2025-09-16,52244,56066.09872043548,-3822.0987204354824
2025-09-17,51738,56419.659424832476,-4681.659424832476
2025-09-18,54423,56158.20348367299,-1735.2034836729872
2025-09-19,54340,56743.34976860779,-2403.34976860779
2025-09-20,66412,65084.333849572206,1327.6661504277945
2025-09-21,64291,63923.084453679774,367.915546320226
2025-09-22,53133,56261.488491151715,-3128.4884911517147
2025-09-23,51789,56420.40024592407,-4631.400245924073
2025-09-24,53982,54775.00771382077,-793.0077138207707
2025-09-25,52704,55615.47899167223,-2911.4789916722293
2025-09-26,55860,54700.55273652918,1159.4472634708218
2025-09-27,65685,65805.1510959841,-120.15109598409617
2025-09-28,63645,64141.65486108494,-496.65486108494224
2025-09-29,52132,55442.97096039355,-3310.970960393548
2025-09-30,55764,54353.439833978024,1410.5601660219763
2025-10-01,53611,55328.0701628838,-1717.0701628837996
2025-10-02,54137,55143.16196559153,-1006.1619655915274
2025-10-03,53555,55923.790909932366,-2368.790909932366
2025-10-04,61558,66079.69213173224,-4521.692131732241
2025-10-05,62318,65034.18938799961,-2716.1893879996132
2025-10-06,53473,56386.69787562516,-2913.697875625163
2025-10-07,55479,55724.810008464316,-245.81000846431562
2025-10-08,56351,57716.48714057529,-1365.4871405752929
2025-10-09,53014,56838.733382332204,-3824.733382332204
2025-10-10,55285,55748.0649723554,-463.06497235540155
2025-10-11,66711,64999.53404161975,1711.4659583802495
2025-10-12,64729,65146.47709853267,-417.4770985326686
2025-10-13,55313,56955.608068336915,-1642.6080683369146
2025-10-14,53692,54889.05001680468,-1197.0500168046783
2025-10-15,53148,56172.98063739352,-3024.9806373935207
2025-10-16,54021,56548.42966487189,-2527.4296648718882
2025-10-17,53964,56556.600963593315,-2592.600963593315
2025-10-18,65396,66158.08686878956,-762.0868687895563
2025-10-19,64097,65767.12993161251,-1670.1299316125078
2025-10-20,53266,56630.74864190294,-3364.7486419029374
2025-10-21,54106,56215.294062963265,-2109.294062963265
2025-10-22,53869,57212.12454826637,-3343.1245482663726
2025-10-23,53742,56295.18644310664,-2553.1864431066424
2025-10-24,55582,55428.51907577929,153.48092422071204
2025-10-25,63742,65541.18704399206,-1799.1870439920604
2025-10-26,64115,64789.5941259738,-674.5941259738029
2025-10-27,54095,55206.96198963749,-1111.9619896374934
2025-10-28,53035,54123.78944420401,-1088.7894442040124
2025-10-29,54499,55413.173353373975,-914.1733533739753
2025-10-30,54557,55469.61367500926,-912.6136750092628
2025-10-31,54187,54785.5024952876,-598.5024952875974
