Date,Observe,Tendance,Saisonnalite,Residu
2023-11-01,0.30095243,0.3485028686156525,-0.04495632261841154,-0.0025941114574460356
2023-11-02,0.17065452,0.35060231437518075,0.015981337488832258,-0.1959291314715951
2023-11-03,0.31893006,0.35265395784891773,-0.0329829313155004,-0.0007409668620153576
2023-11-04,0.38278097,0.35466782074065123,0.02449629560051124,0.0036168528017513357
2023-11-05,0.37822774,0.3566562748639713,0.019977361148443156,0.0015941045137848886
2023-11-06,0.35834515,0.3586177135702535,0.001165409593367971,-0.001437972216050687
2023-11-07,0.3697595,0.3605182771153113,0.008467655759980555,0.0007735671514110254
2023-11-08,0.38413706,0.3622149257290977,-0.03089803332339377,0.052820171812817174
2023-11-09,0.37658763,0.363796157941828,0.010516805993919682,0.0022746653824896046
2023-11-10,0.3838531,0.3653177968483123,-0.02350718585666996,0.04204249669916882
2023-11-11,0.38073486,0.36666568355564977,0.01562748182770015,-0.0015583044862856887
2023-11-12,0.37888572,0.36773331500247364,0.013705034905142775,-0.0025526337077415584
2023-11-13,0.3749884,0.36840903667009794,0.00012773692349081744,0.006451633303002413
2023-11-14,0.3779359,0.369061199779926,0.0068365848966854105,0.0020381017064451945
2023-11-15,0.3803225,0.36981745862353943,-0.01759361650229853,0.028098644040944754
2023-11-16,0.37128317,0.37060779854224274,0.004896508306406977,-0.004221133287553525
2023-11-17,0.3799606,0.3714712414860484,-0.014738710455457198,0.023228065530840725
2023-11-18,0.3756554,0.3723330636921659,0.006299177056985542,-0.002976828075201221
2023-11-19,0.3820954,0.3732581354418468,0.0063005110396649,0.002536750037195612
2023-11-20,0.37076077,0.3745823605118037,-0.001819136630302487,-0.0020024552295389575
2023-11-21,0.37652698,0.3759815817825205,0.003954656290440898,-0.0034092564807830517
2023-11-22,0.38730055,0.37697918465785296,0.004897349583499744,0.005424016696299883
2023-11-23,0.38612944,0.3775858860546474,-0.0016623709850787202,0.010205923807537043
2023-11-24,0.3752362,0.3776167693196726,-0.002732834274198708,0.00035227816177096916
2023-11-25,0.3764729,0.376924607531947,-0.00213315746455445,0.0016814403096521158
2023-11-26,0.37985218,0.3758690075414035,0.00043676437196143113,0.003546403799220499
2023-11-27,0.36990485,0.37459942684470715,-0.0019983671902311837,-0.0026962137014883147
2023-11-28,0.39347237,0.373179452970515,0.0033916703552408787,0.016901250159809256
2023-11-29,0.3664947,0.3719920482694931,0.0034038455687325306,-0.008901208426772389
2023-11-30,0.35992754,0.37111101658339374,-0.0023610384897198014,-0.008822443036606065
2023-12-01,0.37719607,0.37042218766792817,0.0006067885792336637,0.006167097284942635
2023-12-02,0.36401436,0.3700244883856187,-0.004138342485053008,-0.0018717885721507566
