LiaisonId,Code
100,0
101,1
102,2
103,3
10796,4
10891,5
11082,6
12317,7
12319,8
12320,9
12321,10
12325,11
12330,12
12340,13
12342,14
12344,15
12346,16
12401,17
12402,18
12403,19
12407,20
12427,21
12487,22
12561,23
12562,24
12566,25
12586,26
12640,27
12644,28
12649,29
12659,30
12661,31
12663,32
12665,33
1267,34
12722,35
12737,36
12742,37
12798,38
12803,39
12813,40
12815,41
12817,42
12819,43
12821,44
12822,45
12826,46
12827,47
12828,48
12829,49
12831,50
12834,51
12835,52
12836,53
12839,54
12840,55
12841,56
12843,57
12844,58
12845,59
12846,60
12847,61
12848,62
12849,63
12850,64
13026,65
13036,66
13038,67
13040,68
13042,69
13044,70
13045,71
13049,72
13050,73
13051,74
13052,75
13054,76
13057,77
13058,78
13059,79
13062,80
13064,81
13066,82
13067,83
13068,84
13069,85
13070,86
13071,87
13072,88
13073,89
13387,90
13389,91
13391,92
13393,93
13394,94
13395,95
13396,96
13400,97
13401,98
13402,99
13403,100
13405,101
13408,102
13409,103
13410,104
13413,105
13415,106
13417,107
13418,108
13419,109
13420,110
13421,111
13422,112
13423,113
13424,114
13447,115
13448,116
13449,117
13450,118
13451,119
13452,120
13453,121
13454,122
13455,123
13456,124
13457,125
13458,126
13459,127
13460,128
1351,129
13514,130
13515,131
13516,132
13517,133
13518,134
13520,135
13521,136
13522,137
13523,138
13524,139
13525,140
13526,141
13580,142
13581,143
13582,144
13583,145
13584,146
13585,147
13586,148
13587,149
13588,150
13589,151
13590,152
13591,153
13645,154
13646,155
13647,156
13649,157
13650,158
13651,159
13652,160
13653,161
13654,162
13655,163
13709,164
13710,165
13711,166
13712,167
13713,168
13714,169
13715,170
13716,171
13717,172
13718,173
13772,174
13773,175
13774,176
13775,177
13776,178
13777,179
13778,180
13779,181
13780,182
13834,183
13835,184
13836,185
13837,186
13838,187
13840,188
13841,189
13842,190
13896,191
13897,192
13899,193
13900,194
13901,195
13902,196
13956,197
13957,198
13958,199
13960,200
13961,201
13962,202
14016,203
14017,204
14019,205
14020,206
14021,207
14022,208
14023,209
14024,210
14028,211
14029,212
14030,213
14031,214
14033,215
14036,216
14037,217
14038,218
14041,219
14042,220
14043,221
14045,222
14046,223
14047,224
14048,225
14049,226
14050,227
14051,228
14052,229
14075,230
14077,231
14078,232
14079,233
14133,234
14134,235
14135,236
14136,237
14137,238
14138,239
14139,240
14143,241
14144,242
14145,243
14146,244
14148,245
14152,246
14162,247
14163,248
14164,249
14166,250
14167,251
14185,252
14186,253
14190,254
14192,255
14193,256
14222,257
14223,258
14224,259
14225,260
14226,261
14230,262
14231,263
14232,264
14233,265
14235,266
14237,267
14238,268
14239,269
14242,270
14244,271
14246,272
14247,273
14248,274
14249,275
14250,276
14251,277
14252,278
14253,279
14271,280
14272,281
14276,282
14277,283
14331,284
14332,285
14333,286
14337,287
14338,288
14339,289
14340,290
14342,291
14345,292
14346,293
14347,294
1435,295
14350,296
14352,297
14354,298
14355,299
14356,300
14357,301
14358,302
14359,303
14360,304
14361,305
14362,306
14363,307
14365,308
14367,309
14369,310
14371,311
14373,312
14375,313
