Date,TauxReel,TauxPredit,Ecart
2025-09-06,0.04921545544685614,0.04431840286904683,0.004897052577809313
2025-09-07,0.0643142827377499,0.060268764927437705,0.004045517810312198
2025-09-08,0.10605130563028588,0.13206144909704703,-0.026010143466761157
2025-09-09,0.07339691207193189,0.07485223500087745,-0.0014553229289455683
2025-09-10,0.1019863191413685,0.13106022043406787,-0.029073901292699364
2025-09-11,0.07112806957040857,0.07235999514157757,-0.0012319255711689958
2025-09-12,0.10122881126457102,0.13300518395478128,-0.03177637269021026
2025-09-13,0.05447044892358184,0.058482899455818756,-0.004012450532236915
2025-09-14,0.039212747108083285,0.036440174226768235,0.0027725728813150496
2025-09-15,0.04106572055626608,0.03981375181451579,0.0012519687417502923
2025-09-16,0.035690121715975826,0.03373454927453079,0.001955572441445036
2025-09-17,0.03624223010489615,0.03271743435832745,0.0035247957465687
2025-09-18,0.03737042375726495,0.035138835486916355,0.0022315882703485973
2025-09-19,0.040867884723915185,0.03948658090198885,0.001381303821926333
2025-09-20,0.034738142983597765,0.033198739940642846,0.001539403042954919
2025-09-21,0.04133451082983474,0.03704306188883352,0.004291448941001218
2025-09-22,0.04279909710974254,0.038272228691070276,0.004526868418672267
2025-09-23,0.04474428392888398,0.038974416332389863,0.005769867596494116
2025-09-24,0.044244061267113145,0.04019839752644941,0.004045663740663737
2025-09-25,0.05884158320609777,0.053452191429414,0.005389391776683766
2025-09-26,0.0987682206098967,0.12697340229502413,-0.028205181685127423
2025-09-27,0.049500646803884225,0.05352443443541688,-0.0040237876315326535
2025-09-28,0.046318470945669495,0.04145351777749322,0.004864953168176277
2025-09-29,0.05836155803915472,0.05353299946949452,0.004828558569660205
2025-09-30,0.10008335680674675,0.128855621457913,-0.028772264651166238
2025-10-01,0.049656934320133114,0.0519490841651813,-0.0022921498450481845
2025-10-02,0.04035346004287618,0.03640624015908167,0.003947219883794512
2025-10-03,0.04660767838510288,0.04306594426808842,0.0035417341170144584
2025-10-04,0.03721901305177273,0.03620407700000406,0.0010149360517686667
2025-10-05,0.05054622619980443,0.04541382843283171,0.005132397766972718
2025-10-06,0.04336486575082887,0.03952940349854963,0.003835462252279237
2025-10-07,0.03870491912658517,0.03766843397969797,0.0010364851468872005
2025-10-08,0.04816753901689206,0.044140091379453746,0.004027447637438314
2025-10-09,0.05517648324940877,0.051689311912344195,0.003487171337064575
2025-10-10,0.09827586515572852,0.1259135524985205,-0.02763768734279197
2025-10-11,0.05503871746943942,0.05861157019120193,-0.0035728527217625122
2025-10-12,0.05500857728297008,0.04955831954269748,0.0054502577402726
2025-10-13,0.09753308710427992,0.12488180100270314,-0.02734871389842322
2025-10-14,0.048325735667977626,0.04983247823956881,-0.0015067425715911825
2025-10-15,0.03758245637552983,0.03551093968936867,0.002071516686161158
2025-10-16,0.03968599594261342,0.0354674146806937,0.004218581261919721
2025-10-17,0.05198370090964297,0.04929836025485717,0.0026853406547858033
2025-10-18,0.048401668335742526,0.04712729271510337,0.0012743756206391593
2025-10-19,0.054780992811682375,0.05114581323174496,0.003635179579937413
2025-10-20,0.051233602082726204,0.04801939340364167,0.0032142086790845348
2025-10-21,0.05319675607685097,0.04956825081376063,0.0036285052630903383
2025-10-22,0.05954271638808286,0.05234505369087155,0.00719766269721131
2025-10-23,0.07197274165168686,0.067228455945997,0.0047442857056898685
2025-10-24,0.10093576434109698,0.12818264392823936,-0.027246879587142378
2025-10-25,0.07491817997359711,0.07847512240526344,-0.003556942431666335
2025-10-26,0.1078209431605247,0.13482105060720312,-0.027000107446678426
2025-10-27,0.10211674864651721,0.13712902648353487,-0.03501227783701766
2025-10-28,0.06158511443877412,0.06324739481656713,-0.0016622803777930142
2025-10-29,0.06529442583680194,0.06157935224447852,0.0037150735923234188
2025-10-30,0.09457392269735594,0.1247259900165038,-0.03015206731914785
2025-10-31,0.0994742893320849,0.13407953226847363,-0.03460524293638874
