Date,TauxReel,TauxPredit,Ecart
2025-09-06,0.34941557,0.3351139193953332,0.014301651102179624
2025-09-07,0.32236052,0.3143502157715277,0.008010299822954703
2025-09-08,0.15716256,0.1773455843192735,-0.020183022306601073
2025-09-09,0.27154654,0.2744599706203616,-0.0029134279758608606
2025-09-10,0.1616147,0.18368818029485146,-0.022073479143003616
2025-09-11,0.26916933,0.2776429778073503,-0.008473647210426483
2025-09-12,0.16079907,0.18516815727388658,-0.024369086081145186
2025-09-13,0.2985405,0.29086946847329054,0.007671034313345815
2025-09-14,0.3653393,0.3425673434119948,0.02277196556513228
2025-09-15,0.36012807,0.34572017082407575,0.014407904060338927
2025-09-16,0.3607497,0.3477922355379503,0.012957456186826921
2025-09-17,0.36271963,0.35261717491124184,0.010102450323362044
2025-09-18,0.35273114,0.34018599100981367,0.012545147457975026
2025-09-19,0.35475746,0.3529002930826539,0.0018571648889189607
2025-09-20,0.3642379,0.353272031122372,0.010965873426273032
2025-09-21,0.3583364,0.34231247515674534,0.016023913908043474
2025-09-22,0.34235254,0.3404146647851746,0.0019378745157439536
2025-09-23,0.3646933,0.3458892231043351,0.018804090732716272
2025-09-24,0.34680837,0.3348979457475719,0.011910428180498145
2025-09-25,0.33120203,0.3322857036611002,-0.0010836734792154523
2025-09-26,0.16385172,0.18283954119532816,-0.01898781812041514
2025-09-27,0.31314805,0.3001537863353748,0.012994265164945618
2025-09-28,0.3572516,0.33747637379141615,0.019775240540782946
2025-09-29,0.3388535,0.3398026668531471,-0.0009491586191230361
2025-09-30,0.16398531,0.18161212256610576,-0.01762681058108989
2025-10-01,0.30025208,0.29524509488505835,0.005006985078625736
2025-10-02,0.36935806,0.3530661508365033,0.016291911907637346
2025-10-03,0.35948682,0.3522331101172619,0.00725370819633675
2025-10-04,0.3634225,0.36508062945633263,-0.0016581164482149524
2025-10-05,0.36045274,0.3502503346803434,0.010202406704162836
2025-10-06,0.3318754,0.33601983030142746,-0.004144416645192717
2025-10-07,0.32970893,0.33721344420944915,-0.007504510379187923
2025-10-08,0.34999907,0.35091106954158635,-0.0009119993740448473
2025-10-09,0.3171909,0.3235957225443155,-0.0064048370004922694
2025-10-10,0.1625882,0.19152052415746768,-0.02893233014482577
2025-10-11,0.3198397,0.3268083098624345,-0.006968623707115262
2025-10-12,0.3343582,0.3267374148596833,0.0076207706700255895
2025-10-13,0.16346288,0.18876718944301712,-0.025304312169457555
2025-10-14,0.2935169,0.28532267164432035,0.008194232471356533
2025-10-15,0.362835,0.36166187228823854,0.001173117736328111
2025-10-16,0.34570634,0.3420103614115797,0.0036959822392381714
2025-10-17,0.3315257,0.3305272379309872,0.000998475274350319
2025-10-18,0.33942032,0.3424648448278246,-0.003044526224308952
2025-10-19,0.33397827,0.32486049669494954,0.009117768828960982
2025-10-20,0.33086854,0.3348465370385516,-0.003977994844185151
2025-10-21,0.33961815,0.33140517015975557,0.008212976259769578
2025-10-22,0.3397064,0.33665371803594824,0.0030526730601668772
2025-10-23,0.31202647,0.3207893850807727,-0.008762914181190795
2025-10-24,0.16202873,0.18514935278051908,-0.023120622864900187
2025-10-25,0.2810342,0.303152033933663,-0.022117832550072325
2025-10-26,0.16249067,0.18646428636685736,-0.023973620454229183
2025-10-27,0.15262792,0.17650866835036438,-0.02388075320639771
2025-10-28,0.2805846,0.2859057698837693,-0.005321166335719385
2025-10-29,0.31068534,0.33222605927281984,-0.021540722683006608
2025-10-30,0.16545258,0.19296395223778415,-0.02751136761349368
2025-10-31,0.15790601,0.1840994427383304,-0.026193431991374527
