Date,LiaisonId,TauxVenteGuichet,Prediction,ErreurAbsolue,JourSemaine,Seuil,EstAnomalie
2025-09-06,100,0.18181819,0.12041602349741684,0.06140216373936905,5,0.1377235246086606,False
2025-09-08,100,0.15384616,0.09216827398531581,0.06167788559205388,0,0.1377235246086606,False
2025-09-10,100,0.2,0.13002342596369088,0.06997657701654136,2,0.1377235246086606,False
2025-09-11,100,0.1,0.12118412735248558,0.021184125862369466,3,0.1377235246086606,False
2025-09-12,100,0.09090909,0.11307740279099006,0.022168309172597114,4,0.1377235246086606,False
2025-09-15,100,0.071428575,0.08821836794860764,0.016789793326930244,0,0.1377235246086606,False
2025-09-17,100,0.18181819,0.1216948574718891,0.06012332976489679,2,0.1377235246086606,False
2025-09-19,100,0.07692308,0.09276465115296736,0.01584157136428252,4,0.1377235246086606,False
2025-09-30,100,0.1,0.12053272154423844,0.020532720054122322,1,0.1377235246086606,False
2025-10-10,100,0.09090909,0.11283839469948223,0.021929301081089286,4,0.1377235246086606,False
2025-10-12,100,0.09090909,0.12152166767978032,0.03061257406138737,6,0.1377235246086606,False
2025-10-13,100,0.09090909,0.11093753203665659,0.02002843841826364,0,0.1377235246086606,False
2025-10-22,100,0.09090909,0.11697947071155636,0.026070377093163413,2,0.1377235246086606,False
2025-10-24,100,0.09090909,0.1091904184552949,0.018281324836901952,4,0.1377235246086606,False
2025-10-26,100,0.18181819,0.11535044067221778,0.06646774656456811,6,0.1377235246086606,False
2025-10-27,100,0.1,0.11528959860026639,0.015289597110150266,0,0.1377235246086606,False
2025-10-29,100,0.16666667,0.10796915297276528,0.058697518660955114,2,0.1377235246086606,False
2025-10-31,100,0.083333336,0.10419453420288648,0.020861198386026278,4,0.1377235246086606,False
2025-09-06,101,0.09375,0.09876590209862153,0.00501590209862153,5,0.1377235246086606,False
2025-09-07,101,0.13043478,0.09709432028135108,0.033340461031591426,6,0.1377235246086606,False
2025-09-08,101,0.12857144,0.08945642425415282,0.03911501155498262,0,0.1377235246086606,False
2025-09-09,101,0.04,0.08839120493980836,0.04839120583387803,1,0.1377235246086606,False
2025-09-10,101,0.083333336,0.09027004442510539,0.00693670860824519,2,0.1377235246086606,False
2025-09-11,101,0.2,0.14804660024070235,0.05195340273952989,3,0.1377235246086606,False
2025-09-12,101,0.10526316,0.0872121966951544,0.018050961983854086,4,0.1377235246086606,False
2025-09-15,101,0.09090909,0.13869587531003158,0.047786781691638636,0,0.1377235246086606,False
2025-09-20,101,0.121212125,0.13745265364131173,0.016240528816787808,5,0.1377235246086606,False
2025-09-24,101,0.1,0.1422602247632122,0.04226022327309609,2,0.1377235246086606,False
2025-09-25,101,0.1,0.16477644508676947,0.06477644359665335,3,0.1377235246086606,False
2025-09-26,101,0.10714286,0.09575632560247165,0.011386532604754154,4,0.1377235246086606,False
