LiaisonId,EstFerie,EstVacances,liaison_frequence
422,False,False,8
423,False,False,37
424,False,False,138
425,False,False,93
426,False,False,73
427,False,False,28
428,False,False,284
429,False,False,96
430,False,False,31
431,False,False,64
432,False,False,75
433,False,False,663
434,False,False,87
435,False,False,204
436,False,False,54
437,False,False,21
438,False,False,27
439,False,False,14
440,False,False,8
441,False,False,334
442,False,False,233
443,False,False,578
444,False,False,48
445,False,False,83
446,False,False,575
447,False,False,7
448,False,False,1
449,False,False,19
450,False,False,96
451,False,False,77
452,False,False,64
453,False,False,30
454,False,False,175
455,False,False,61
456,False,False,24
457,False,False,17
458,False,False,570
459,False,False,105
460,False,False,228
461,False,False,45
462,False,False,12
463,False,False,21
464,False,False,7
465,False,False,15
466,False,False,260
467,False,False,130
468,False,False,450
469,False,False,33
470,False,False,68
471,False,False,392
472,False,False,15
473,False,False,34
474,False,False,93
475,False,False,83
476,False,False,74
477,False,False,19
478,False,False,1
479,False,False,119
480,False,False,45
481,False,False,18
482,False,False,585
483,False,False,100
484,False,False,163
485,False,False,47
486,False,False,21
487,False,False,17
488,False,False,7
489,False,False,9
490,False,False,206
491,False,False,126
492,False,False,408
493,False,False,40
494,False,False,75
495,False,False,443
496,False,False,10
497,False,False,43
498,False,False,117
499,False,False,74
500,False,False,60
501,False,False,23
502,False,False,146
503,False,False,45
504,False,False,21
505,False,False,166
506,False,False,539
507,False,False,730
508,False,False,236
509,False,False,42
510,False,False,567
511,False,False,398
512,False,False,391
513,False,False,602
514,False,False,331
515,False,False,681
516,False,False,81
517,False,False,167
518,False,False,681
519,False,False,23
520,False,False,63
521,False,False,211
522,False,False,120
523,False,False,83
524,False,False,52
526,False,False,283
527,False,False,66
528,False,False,20
529,False,False,87
530,False,False,81
531,False,False,36
532,False,False,6
533,False,False,59
534,False,False,73
535,False,False,75
536,False,False,100
537,False,False,55
538,False,False,156
539,False,False,4
540,False,False,32
541,False,False,136
542,False,False,8
543,False,False,25
544,False,False,7
545,False,False,5
546,False,False,1
547,False,False,14
548,False,False,52
549,False,False,18
550,False,False,14
551,False,False,9
552,False,False,8
553,False,False,135
554,False,False,94
555,False,False,308
556,False,False,39
557,False,False,67
558,False,False,252
559,False,False,2
560,False,False,1
561,False,False,16
562,False,False,77
563,False,False,54
564,False,False,37
565,False,False,18
566,False,False,1
567,False,False,70
568,False,False,225
569,False,False,141
570,False,False,595
571,False,False,293
572,False,False,252
573,False,False,394
574,False,False,154
575,False,False,508
576,False,False,71
577,False,False,94
578,False,False,518
579,False,False,3
581,False,False,17
582,False,False,83
583,False,False,168
584,False,False,105
585,False,False,75
586,False,False,41
587,False,False,159
588,False,False,1
589,False,False,59
590,False,False,284
591,False,False,440
592,False,False,242
593,False,False,199
594,False,False,253
595,False,False,92
596,False,False,255
597,False,False,9
598,False,False,39
599,False,False,220
600,False,False,1
601,False,False,15
602,False,False,55
603,False,False,18
604,False,False,6
605,False,False,3
606,False,False,37
607,False,False,491
608,False,False,223
609,False,False,193
610,False,False,248
611,False,False,60
612,False,False,241
613,False,False,8
614,False,False,33
615,False,False,271
616,False,False,3
617,False,False,3
618,False,False,18
619,False,False,36
620,False,False,12
621,False,False,4
622,False,False,2
623,False,False,9
624,False,False,295
625,False,False,326
626,False,False,379
627,False,False,104
628,False,False,267
629,False,False,17
630,False,False,68
631,False,False,248
632,False,False,7
634,False,False,3
635,False,False,33
636,False,False,73
637,False,False,40
638,False,False,29
639,False,False,6
641,False,False,71
642,False,False,131
643,False,False,269
644,False,False,70
645,False,False,242
646,False,False,15
647,False,False,51
648,False,False,182
649,False,False,7
650,False,False,2
651,False,False,13
652,False,False,59
653,False,False,35
654,False,False,10
655,False,False,4
656,False,False,51
657,False,False,377
658,False,False,99
659,False,False,252
660,False,False,23
661,False,False,56
662,False,False,193
663,False,False,2
664,False,False,14
665,False,False,33
666,False,False,23
667,False,False,12
668,False,False,1
669,False,False,41
670,False,False,156
671,False,False,447
672,False,False,42
673,False,False,98
674,False,False,397
675,False,False,1
676,False,False,6
677,False,False,2
678,False,False,31
679,False,False,94
680,False,False,68
681,False,False,45
682,False,False,9
683,False,False,1
684,False,False,99
685,False,False,11
686,False,False,37
687,False,False,147
688,False,False,511
689,False,False,2
690,False,False,12
691,False,False,15
692,False,False,76
693,False,False,138
694,False,False,83
695,False,False,62
696,False,False,34
697,False,False,117
698,False,False,90
699,False,False,178
700,False,False,668
701,False,False,5
702,False,False,4
703,False,False,24
704,False,False,34
705,False,False,101
706,False,False,266
707,False,False,204
708,False,False,133
709,False,False,64
710,False,False,1
711,False,False,303
712,False,False,57
713,False,False,151
715,False,False,2
716,False,False,25
717,False,False,64
718,False,False,43
719,False,False,24
720,False,False,6
721,False,False,30
722,False,False,252
723,False,False,3
724,False,False,5
725,False,False,4
726,False,False,43
727,False,False,99
728,False,False,70
729,False,False,54
730,False,False,25
731,False,False,66
732,False,False,5
733,False,False,11
734,False,False,24
735,False,False,15
736,False,False,130
737,False,False,417
738,False,False,624
739,False,False,423
740,False,False,248
741,False,False,182
742,False,False,3
743,False,False,565
744,False,False,9
745,False,False,20
746,False,False,63
747,False,False,28
748,False,False,30
749,False,False,9
750,False,False,32
751,False,False,1
752,False,False,2
753,False,False,1
754,False,False,4
755,False,False,24
756,False,False,14
758,False,False,7
759,False,False,11
760,False,False,103
761,False,False,60
762,False,False,41
763,False,False,11
764,False,False,48
765,False,False,86
766,False,False,63
767,False,False,62
768,False,False,14
769,False,False,1
770,False,False,101
771,False,False,341
772,False,False,159
773,False,False,88
774,False,False,3
775,False,False,313
776,False,False,224
777,False,False,2
778,False,False,103
779,False,False,3
780,False,False,330
781,False,False,2
782,False,False,193
783,False,False,3
784,False,False,396
785,False,False,10
786,False,False,14
787,False,False,6
788,False,False,383
789,False,False,48
790,False,False,36
791,False,False,1
792,False,False,29
793,False,False,199
794,False,False,11
795,False,False,664
801,False,False,2
802,False,False,19
803,False,False,22
805,False,False,33
806,False,False,2
807,False,False,47
810,False,False,66
811,False,False,9
812,False,False,465
818,False,False,11
820,False,False,625
821,False,False,459
822,False,False,526
823,False,False,666
824,False,False,715
825,False,False,510
826,False,False,520
827,False,False,694
828,False,False,539
829,False,False,447
830,False,False,439
831,False,False,579
832,False,False,66
833,False,False,141
834,False,False,101
835,False,False,51
836,False,False,70
837,False,False,39
838,False,False,51
839,False,False,190
840,False,False,279
841,False,False,323
842,False,False,47
843,False,False,73
844,False,False,416
845,False,False,337
846,False,False,395
848,False,False,514
849,False,False,592
850,False,False,377
851,False,False,365
852,False,False,465
853,False,False,317
854,False,False,209
855,False,False,256
856,False,False,267
857,False,False,56
858,False,False,88
859,False,False,55
