Date,VolumeReel,VolumePredit,Ecart
2025-09-06,73472,75049.10141078831,-1577.1014107883093
2025-09-07,65682,72945.44768704649,-7263.447687046486
2025-09-08,61344,69296.88889156203,-7952.888891562034
2025-09-09,63439,65383.64727645706,-1944.6472764570572
2025-09-10,61937,63391.35813773996,-1454.3581377399605
2025-09-11,64103,62801.42693901241,1301.57306098759
2025-09-12,60531,64423.023746769795,-3892.0237467697953
2025-09-13,74607,73763.30050478825,843.699495211753
2025-09-14,78512,72507.13368325836,6004.866316741638
2025-09-15,65505,66902.04434896927,-1397.0443489692698
2025-09-16,65097,67253.0382044664,-2156.0382044664
2025-09-17,65525,66020.14017105108,-495.1401710510836
2025-09-18,60145,68231.82845438094,-8086.828454380942
2025-09-19,65708,66992.11205133624,-1284.1120513362403
2025-09-20,74962,73210.5885767719,1751.411423228099
2025-09-21,75688,75256.8346508701,431.165349129893
2025-09-22,67450,71869.95727402232,-4419.957274022323
2025-09-23,64835,67535.33868343243,-2700.3386834324338
2025-09-24,62198,71126.9068600116,-8928.9068600116
2025-09-25,62051,67801.28358370191,-5750.283583701908
2025-09-26,61200,68804.48871475374,-7604.488714753737
2025-09-27,68392,71816.38926708272,-3424.389267082719
2025-09-28,73610,71788.68673034596,1821.3132696540415
2025-09-29,64482,67845.96797506357,-3363.9679750635696
2025-09-30,60910,62954.035265201965,-2044.0352652019646
2025-10-01,62884,61989.1907983982,894.8092016017981
2025-10-02,62252,64433.066423996315,-2181.0664239963153
2025-10-03,64456,64028.80510980235,427.19489019765024
2025-10-04,67078,71455.94686449053,-4377.946864490528
2025-10-05,69188,71476.26081626982,-2288.260816269816
2025-10-06,69459,65832.69818433841,3626.301815661587
2025-10-07,64577,64228.66914357139,348.3308564286126
2025-10-08,64912,65970.4237692243,-1058.4237692243041
2025-10-09,63945,66483.64306698821,-2538.64306698821
2025-10-10,61141,67077.40079284576,-5936.400792845758
2025-10-11,69949,71637.8899187697,-1688.8899187696952
2025-10-12,72585,71531.42975891517,1053.5702410848317
2025-10-13,61007,68077.51645465876,-7070.516454658762
2025-10-14,63540,64764.21171027112,-1224.21171027112
2025-10-15,62801,63347.65689371057,-546.6568937105694
2025-10-16,63080,64126.83804208878,-1046.838042088777
2025-10-17,64885,64661.65803359527,223.34196640473237
2025-10-18,73989,72068.40464234723,1920.5953576527681
2025-10-19,70298,73056.11524980975,-2758.115249809751
2025-10-20,62655,66388.29015134343,-3733.2901513434335
2025-10-21,63586,62839.88613315399,746.1138668460117
2025-10-22,64582,62707.476625317555,1874.5233746824451
2025-10-23,62321,64177.36820040057,-1856.3682004005677
2025-10-24,61438,65455.288176059235,-4017.2881760592354
2025-10-25,69288,72003.18399803528,-2715.1839980352815
2025-10-26,71047,70732.74627780866,314.25372219133715
2025-10-27,60842,65433.42902778441,-4591.429027784412
2025-10-28,68160,60644.23604698703,7515.763953012967
2025-10-29,62756,60982.83402227525,1773.1659777247478
2025-10-30,60765,60739.763757958644,25.23624204135558
2025-10-31,60164,60163.49580088307,0.5041991169273388
