Annee,Mois,NiveauConfort,PartConfort
2023,11,1,0.03013167
2023,11,2,0.19898564
2023,11,3,0.014602369
2023,11,4,0.0050403876
2023,11,5,0.0012475875
2023,12,1,0.030069338
2023,12,2,0.24359202
2023,12,3,0.0063286023
2023,12,4,0.026261898
2023,12,5,0.0025474338
2024,1,1,0.02403634
2024,1,2,0.19641654
2024,1,3,0.010073541
2024,1,4,0.03044713
2024,1,5,0.0013299889
2024,2,1,0.01564897
2024,2,2,0.10056811
2024,2,3,0.010572626
2024,2,4,0.0032646984
2024,2,5,0.0027878527
2024,3,1,0.015053071
2024,3,2,0.10414228
2024,3,3,0.0016153686
2024,3,4,0.00037814307
2024,3,5,0.0013255908
2024,4,1,0.022667423
2024,4,2,0.17014611
2024,4,3,0.009980719
2024,4,4,0.011111111
2024,4,5,0.005633397
2024,5,1,0.025620906
2024,5,2,0.21094595
2024,5,3,0.024090283
2024,5,4,0.013137613
2024,5,5,0.003715496
2024,6,1,0.025813809
2024,6,2,0.23373963
2024,6,3,0.012384197
2024,6,4,0.0006923294
2024,6,5,0.018331518
2024,7,1,0.025622725
2024,7,2,0.22712593
2024,7,3,0.0028583715
2024,7,4,0.010986442
2024,7,5,0.00082103215
2024,8,1,0.027012844
2024,8,2,0.2710505
2024,8,3,0.009723398
2024,8,4,0.014218709
2024,8,5,0.0063805315
2024,9,1,0.02186923
2024,9,2,0.22242385
2024,9,3,0.015568483
2024,9,4,0.012291203
2024,9,5,0.0003419501
2024,10,1,0.016407087
2024,10,2,0.15735404
2024,10,3,0.0019889125
2024,10,4,0.0
2024,10,5,0.0011894609
2024,11,1,0.022315502
2024,11,2,0.24791703
2024,11,3,0.008089887
2024,11,4,0.017425563
2024,11,5,0.0007045089
2024,12,1,0.01722784
2024,12,2,0.17232879
2024,12,3,0.014252334
2024,12,4,0.001698424
2024,12,5,0.0005336335
2025,1,1,0.019441051
2025,1,2,0.2203123
2025,1,3,0.018391773
2025,1,4,0.016936596
2025,1,5,0.00029868577
2025,2,1,0.017681595
2025,2,2,0.1897241
2025,2,3,0.0072584427
2025,2,4,0.012026239
2025,2,5,0.0012982872
2025,3,1,0.017531916
2025,3,2,0.18652898
2025,3,3,0.013651262
2025,3,4,0.006437308
2025,3,5,0.00045230394
2025,4,1,0.01879844
2025,4,2,0.21351606
2025,4,3,0.015075617
2025,4,4,0.024642857
2025,4,5,0.016617063
2025,5,1,0.017297238
2025,5,2,0.17295632
2025,5,3,0.014056911
2025,5,4,0.011406532
2025,5,5,0.0006066721
2025,6,1,0.017952558
2025,6,2,0.19426495
2025,6,3,0.017659817
2025,6,4,0.0174078
2025,6,5,0.0025989062
2025,7,1,0.016394857
2025,7,2,0.15379152
2025,7,3,0.014195942
2025,7,4,0.00014729709
2025,7,5,0.0027031493
2025,8,1,0.017123528
2025,8,2,0.18212005
2025,8,3,0.020479577
2025,8,4,0.031314615
2025,8,5,0.00041864198
2025,9,1,0.017470453
2025,9,2,0.1800007
2025,9,3,0.011401971
2025,9,4,0.0121050645
2025,9,5,0.016666668
2025,10,1,0.018843288
2025,10,2,0.20906135
2025,10,3,0.034925576
2025,10,4,0.02688172
2025,10,5,0.020732274
