Date,PartMoyenneReelle,PartMoyennePredite,Ecart
2025-09-06,0.08487747,0.7041243275552899,-0.6192468589097172
2025-09-07,0.12671848,0.7041243275552899,-0.5774058511406094
2025-09-08,0.37033722,0.7039689644882124,-0.3336317464420241
2025-09-09,0.16114593,0.7039689644882124,-0.5428230389663619
2025-09-10,0.35122243,0.7036374478234944,-0.35241502212426035
2025-09-11,0.15320417,0.7034277198211625,-0.5502235469715073
2025-09-12,0.34611952,0.7026464466250372,-0.3565269235766363
2025-09-13,0.11923877,0.7026464466250372,-0.5834076751268339
2025-09-14,0.06779661,0.7026464466250372,-0.6348498363292646
2025-09-15,0.0716409,0.7027348394768134,-0.6310939382092848
2025-09-16,0.05849169,0.7030878859857482,-0.6445961977640552
2025-09-17,0.057007127,0.7030878859857482,-0.646080759475605
2025-09-18,0.063520335,0.703176016622143,-0.6396556819611361
2025-09-19,0.068546,0.7032640949554896,-0.6347180978126978
2025-09-20,0.05754969,0.7033521210323346,-0.6458024320672524
2025-09-21,0.07087782,0.7034400948991696,-0.6325622746457974
2025-09-22,0.070284694,0.7034400948991696,-0.6331554004659573
2025-09-23,0.06850534,0.7034400948991696,-0.6349347555746953
2025-09-24,0.07382152,0.7032315446190335,-0.6294100223235585
2025-09-25,0.10080048,0.7032315446190335,-0.6024310676507451
2025-09-26,0.34502062,0.703594578668238,-0.35857395665323866
2025-09-27,0.10665881,0.703594578668238,-0.5969357697812332
2025-09-28,0.07955215,0.703594578668238,-0.6240424274054779
2025-09-29,0.09664113,0.703594578668238,-0.6069534479228271
2025-09-30,0.3466745,0.70364920541495,-0.3569747035190455
2025-10-01,0.10447322,0.70364920541495,-0.5991759870931498
2025-10-02,0.063566804,0.70364920541495,-0.6400824014827601
2025-10-03,0.07592702,0.70364920541495,-0.6277221862956873
2025-10-04,0.063566804,0.70364920541495,-0.6400824014827601
2025-10-05,0.08475574,0.70364920541495,-0.6188934643551699
2025-10-06,0.072395526,0.70364920541495,-0.6312536795422427
2025-10-07,0.06945262,0.70364920541495,-0.6341965843722216
2025-10-08,0.08063567,0.70364920541495,-0.623013538567721
2025-10-09,0.10035315,0.70364920541495,-0.6032960538551203
2025-10-10,0.3408757,0.7040846312077579,-0.36320894599276154
2025-10-11,0.112547755,0.7040846312077579,-0.5915368759663638
2025-10-12,0.098736405,0.7040846312077579,-0.6053482258351383
2025-10-13,0.33734587,0.7040516735173223,-0.366705805168247
2025-10-14,0.10275984,0.7040516735173223,-0.6012918354130743
2025-10-15,0.061949503,0.7040516735173223,-0.642102170840597
2025-10-16,0.0634175,0.7040516735173223,-0.6406341717697142
2025-10-17,0.09304374,0.7038450249486352,-0.6108012878351594
2025-10-18,0.08981509,0.7038450249486352,-0.6140299373321916
2025-10-19,0.10096859,0.7038450249486352,-0.6028764330797578
2025-10-20,0.08717347,0.7038450249486352,-0.6166715555839921
2025-10-21,0.09448357,0.7039319248826291,-0.6094483556182172
2025-10-22,0.10211267,0.7039319248826291,-0.6018192516596105
2025-10-23,0.13350938,0.7039319248826291,-0.5704225422770764
2025-10-24,0.35565954,0.7034220532319392,-0.34776250876401316
2025-10-25,0.16169591,0.7032163742690059,-0.5415204617886515
2025-10-26,0.37718788,0.7024504084014003,-0.3252625305079524
2025-10-27,0.37183592,0.7023567064300262,-0.33052078919560546
2025-10-28,0.12769052,0.7024432809773123,-0.5747527571144736
2025-10-29,0.11838278,0.7024432809773123,-0.584060499233309
2025-10-30,0.3240256,0.7024432809773123,-0.378417679828707
2025-10-31,0.3548387,0.7018308631211857,-0.34699216401878397
