Date,PartMoyenneReelle,PartMoyennePredite,Ecart
2025-09-06,0.07008086,0.5496201911296251,-0.4795393296803835
2025-09-07,0.10365107,0.5496201911296251,-0.44596912202495365
2025-09-08,0.3114153,0.5494989000244439,-0.23808358535006646
2025-09-09,0.13248594,0.5494989000244439,-0.4170129589720071
2025-09-10,0.29482168,0.5495847581827064,-0.2547630785905738
2025-09-11,0.12576313,0.5496947496947497,-0.4239316165265292
2025-09-12,0.29093567,0.5497076023391813,-0.25877193697014744
2025-09-13,0.09768575,0.5495736906211937,-0.45188794377261043
2025-09-14,0.055785626,0.5495736906211937,-0.49378806444817425
2025-09-15,0.0582075,0.5496833901607404,-0.49147588943475584
2025-09-16,0.048163462,0.5499878375091218,-0.5018243750788831
2025-09-17,0.046935797,0.5500972762645915,-0.5031614795269206
2025-09-18,0.052260574,0.5503159941662615,-0.4980554202128714
2025-09-19,0.056379102,0.5504252733900364,-0.49404617121956906
2025-09-20,0.047364585,0.5504007772649988,-0.5030361921633943
2025-09-21,0.058523554,0.5502671199611462,-0.4917435656062401
2025-09-22,0.057066537,0.5502671199611462,-0.49320058252132304
2025-09-23,0.056580864,0.5502671199611462,-0.4936862560681141
2025-09-24,0.060223408,0.5502671199611462,-0.49004371191776164
2025-09-25,0.08377853,0.5502671199611462,-0.466488589601878
2025-09-26,0.28636912,0.5510253317249698,-0.2646562166107578
2025-09-27,0.08781665,0.5510253317249698,-0.46320868353971667
2025-09-28,0.065364204,0.551133622768934,-0.4857694184218003
2025-09-29,0.08031838,0.551133622768934,-0.47081524634700556
2025-09-30,0.29035363,0.550156362761607,-0.25980273674880483
2025-10-01,0.086339585,0.55002405002405,-0.4636844645409758
2025-10-02,0.051948052,0.55002405002405,-0.4980759981243784
2025-10-03,0.063011065,0.55002405002405,-0.4870129848985846
2025-10-04,0.051948052,0.55002405002405,-0.4980759981243784
2025-10-05,0.07044963,0.550132243327723,-0.47968261539183665
2025-10-06,0.05962972,0.550132243327723,-0.49050252362333346
2025-10-07,0.057225294,0.550132243327723,-0.49290694891654063
2025-10-08,0.067307696,0.55,-0.48269230425357823
2025-10-09,0.08269231,0.55,-0.4673076897859574
2025-10-10,0.28458405,0.5495085111484057,-0.26492446573824946
2025-10-11,0.09180249,0.5496164908916586,-0.45781399815388857
2025-10-12,0.081255995,0.5496164908916586,-0.46836049615451036
2025-10-13,0.27966508,0.5488038277511962,-0.2691387450580962
2025-10-14,0.084689,0.5488038277511962,-0.4641148289924033
2025-10-15,0.05095694,0.5488038277511962,-0.4978468893354304
2025-10-16,0.051913876,0.5488038277511962,-0.4968899516647227
2025-10-17,0.07605836,0.5486725663716814,-0.4726142084176561
2025-10-18,0.073648974,0.5487804878048781,-0.47513151350544724
2025-10-19,0.08297465,0.5487804878048781,-0.465805837839115
2025-10-20,0.071718864,0.5488883576380588,-0.477169493495164
2025-10-21,0.077198856,0.5489961759082218,-0.4717973203293224
2025-10-22,0.08389101,0.5489961759082218,-0.46510516413368186
2025-10-23,0.11065966,0.5489961759082218,-0.4383365169993778
2025-10-24,0.2965435,0.5489868891537545,-0.2524433803856728
2025-10-25,0.13393708,0.5488560533841754,-0.41491897765003694
2025-10-26,0.3139397,0.5485632866302541,-0.23462359604034932
2025-10-27,0.3082208,0.5484482350153992,-0.2402274312777588
2025-10-28,0.10516343,0.5485551871151113,-0.44339175445739265
2025-10-29,0.09805779,0.5485551871151113,-0.4504973955244207
2025-10-30,0.26827538,0.5481428909392004,-0.2798675108046179
2025-10-31,0.2929078,0.5477541371158392,-0.25484633286512204
