TypeTitre,Date,Observe,Tendance,Saisonnalite,Residu
B,2023-11-01,0.94460005,0.15718302877282095,-0.011611658867251774,0.7990286757754306
B,2023-11-02,0.8906085,0.15665750630363806,-0.007784202855401439,0.7417351860651606
B,2023-11-03,0.26478845,0.15620318169949599,0.0071135571637272795,0.1014717099473541
B,2023-11-04,0.17587768,0.15584326979790467,0.014773943711564685,0.005260461904616043
B,2023-11-05,0.1525372,0.15559899183981066,-0.0001469113911848406,-0.002914883574007293
B,2023-11-06,0.2014449,0.1554527793460969,0.001090444779987704,0.04490166994930908
B,2023-11-07,0.14901575,0.15538830486238803,-0.006018649324409855,-0.0003539010766897277
B,2023-11-08,0.14554478,0.15537429440188316,-0.0070998939913889175,-0.0027296181295723143
B,2023-11-09,0.1473047,0.1559193678979569,-0.005796391555098158,-0.002818277517976253
B,2023-11-10,0.1587101,0.1567312213913389,0.0035801674771905956,-0.0016012816612312186
B,2023-11-11,0.16495623,0.15797795047422447,0.010309838711317345,-0.003331562240618424
B,2023-11-12,0.16969654,0.15941627901819477,0.005106521707033096,0.005173738915198761
B,2023-11-13,0.16232957,0.16065829025246645,-0.0005465601772965636,0.002217839383791609
B,2023-11-14,0.15337637,0.16128536903720736,-0.007617958984888678,-0.00029103938390742656
B,2023-11-15,0.15822731,0.16132024119103855,-0.003388875183838341,0.0002959435774174124
B,2023-11-16,0.17247567,0.16120353735713644,-0.003938948659765857,0.01521107711035341
B,2023-11-17,0.16335623,0.16106622384102318,-0.00018681018288108455,0.0024768160047531074
B,2023-11-18,0.14581232,0.16062673847466455,0.006415775441504156,-0.021230196187172423
B,2023-11-19,0.164842,0.15986156820947234,0.010209166056260072,-0.005228739622521045
B,2023-11-20,0.15690625,0.15883549872797567,-0.0015446404776956442,-0.00038461111130297376
B,2023-11-21,0.15151529,0.1579607029291253,-0.009157334332407181,0.0027119215443875133
B,2023-11-22,0.16858636,0.15733701151899293,-0.00022329431448272382,0.011472641223491203
B,2023-11-23,0.14366618,0.15696030949255693,-0.0014949375681910498,-0.011799193936313512
B,2023-11-24,0.18082564,0.15680414453729707,-0.003577559609101363,0.027599050862629176
B,2023-11-25,0.1545522,0.15686352685295557,0.0023694240530892723,-0.004680744508988255
B,2023-11-26,0.18186642,0.15702163363408778,0.0149730807652526,0.009871707896229986
B,2023-11-27,0.14747427,0.15756391366183262,-0.0018129879314490746,-0.00827665169111505
