TypeTitre,Feature,ImportanceSHAP
B,LiaisonId_code,0.0006908999193012275
B,Annee,0.012825020356195307
B,Mois,0.005058567366925774
B,JourSemaine,0.0014221142597509652
B,EstWeekend,7.952848243892742e-05
B,EstFerie,0.0
B,EstRamadan,0.00018039649847545374
B,EstVacances,0.0
B,jour_semaine_sin,0.002387437294897762
B,jour_semaine_cos,0.0032550853159962903
B,mois_sin,0.004583287653524124
B,mois_cos,0.01027647390258834
B,liaison_frequence,0.1044012031956114
B,liaison_cible_encodage_controles,0.017378690733553196
B,interaction_jour_liaison_controles,0.0010190205805475896
B,lag_1_controles,0.021119349173576236
B,lag_7_controles,0.0033791293864275885
B,lag_14_controles,0.007523951070963157
B,lag_30_controles,0.0005901996844662591
B,lag_365_controles,0.0005831744853186492
B,rolling_mean_7_controles,0.005323965015222074
B,rolling_mean_14_controles,0.0038572956324114138
B,rolling_mean_30_controles,0.001333766299644138
B,rolling_std_7_controles,0.0006229038430919227
B,rolling_std_14_controles,0.0007735612226662316
B,rolling_std_30_controles,0.0014897156917322394
C,LiaisonId_code,0.0006473250910215062
C,Annee,0.0025127861374135544
C,Mois,0.00101262717287131
C,JourSemaine,0.00018585274194369224
C,EstWeekend,4.073060766271004e-05
C,EstFerie,0.0
C,EstRamadan,4.088422370922936e-05
C,EstVacances,0.0
C,jour_semaine_sin,0.000431110535944853
C,jour_semaine_cos,0.0007278936001368918
C,mois_sin,0.0005290163213404172
C,mois_cos,0.0011114096563707486
C,liaison_frequence,0.015388717697709354
C,liaison_cible_encodage_controles,0.02170919853066383
C,interaction_jour_liaison_controles,0.00039334797808838866
C,lag_1_controles,0.0011162852747823213
C,lag_7_controles,6.020545444155328e-05
C,lag_14_controles,0.0002678281906516212
C,lag_30_controles,6.687916292720623e-06
C,lag_365_controles,6.070909481245308e-05
C,rolling_mean_7_controles,0.0003557385544452011
C,rolling_mean_14_controles,0.00014728795923146475
C,rolling_mean_30_controles,5.203309922299114e-05
C,rolling_std_7_controles,0.00010977761195874017
C,rolling_std_14_controles,6.054460775385977e-05
C,rolling_std_30_controles,0.00016611155811545696
