LiaisonId,TypeTitre,liaison_frequence,liaison_cible_encodage_controles,interaction_jour_liaison_controles
14020,C,94,20.49193,20.49193
14021,B,992,20.49193,20.49193
14021,C,992,20.49193,20.49193
14022,B,215,20.49193,20.49193
14022,C,215,20.49193,20.49193
14023,B,419,20.49193,20.49193
14023,C,419,20.49193,20.49193
14024,B,401,20.49193,20.49193
14024,C,401,20.49193,20.49193
14028,B,364,20.49193,20.49193
14028,C,364,20.49193,20.49193
14029,B,462,20.49193,20.49193
14029,C,462,20.49193,20.49193
14030,B,183,20.49193,20.49193
14030,C,183,20.49193,20.49193
14031,B,223,20.49193,20.49193
14031,C,223,20.49193,20.49193
14033,B,400,20.49193,20.49193
14033,C,400,20.49193,20.49193
14036,B,61,20.49193,20.49193
14036,C,61,20.49193,20.49193
14037,B,105,20.49193,20.49193
14037,C,105,20.49193,20.49193
14038,B,38,20.49193,20.49193
14038,C,38,20.49193,20.49193
14041,B,18,20.49193,20.49193
14041,C,18,20.49193,20.49193
14042,B,4,20.49193,20.49193
14042,C,4,20.49193,20.49193
14043,B,26,20.49193,20.49193
14043,C,26,20.49193,20.49193
14045,B,14,20.49193,20.49193
14045,C,14,20.49193,20.49193
14046,B,10,20.49193,20.49193
14046,C,10,20.49193,20.49193
14047,B,123,20.49193,20.49193
14047,C,123,20.49193,20.49193
14048,B,90,20.49193,20.49193
14048,C,90,20.49193,20.49193
14049,B,260,20.49193,20.49193
14049,C,260,20.49193,20.49193
14050,B,16,20.49193,20.49193
14050,C,16,20.49193,20.49193
14051,B,42,20.49193,20.49193
14051,C,42,20.49193,20.49193
14052,B,327,20.49193,20.49193
14052,C,327,20.49193,20.49193
14075,B,4,20.49193,20.49193
14075,C,4,20.49193,20.49193
14077,B,3,20.49193,20.49193
14078,B,1,20.49193,20.49193
14079,B,46,20.49193,20.49193
14079,C,46,20.49193,20.49193
14133,B,132,20.49193,20.49193
14133,C,132,20.49193,20.49193
14134,B,263,20.49193,20.49193
14134,C,263,20.49193,20.49193
14135,B,73,20.49193,20.49193
14135,C,73,20.49193,20.49193
14136,B,583,20.49193,20.49193
14136,C,583,20.49193,20.49193
14137,B,345,20.49193,20.49193
14137,C,345,20.49193,20.49193
14138,B,39,20.49193,20.49193
14138,C,39,20.49193,20.49193
14139,B,43,20.49193,20.49193
14139,C,43,20.49193,20.49193
14143,B,35,20.49193,20.49193
14143,C,35,20.49193,20.49193
14144,B,39,20.49193,20.49193
14144,C,39,20.49193,20.49193
14145,B,24,20.49193,20.49193
14145,C,24,20.49193,20.49193
14146,B,24,20.49193,20.49193
14146,C,24,20.49193,20.49193
14148,B,34,20.49193,20.49193
14148,C,34,20.49193,20.49193
14152,B,5,20.49193,20.49193
14152,C,5,20.49193,20.49193
14162,B,3,20.49193,20.49193
14163,B,5,20.49193,20.49193
14163,C,5,20.49193,20.49193
14164,B,7,20.49193,20.49193
14164,C,7,20.49193,20.49193
14166,B,1,20.49193,20.49193
14167,B,12,20.49193,20.49193
14167,C,12,20.49193,20.49193
14185,B,707,20.49193,20.49193
14185,C,707,20.49193,20.49193
14186,B,209,20.49193,20.49193
14186,C,209,20.49193,20.49193
14190,B,317,20.49193,20.49193
14190,C,317,20.49193,20.49193
14192,B,898,20.49193,20.49193
14192,C,898,20.49193,20.49193
14193,B,317,20.49193,20.49193
14193,C,317,20.49193,20.49193
14222,B,2,20.49193,20.49193
14223,B,502,20.49193,20.49193
14223,C,502,20.49193,20.49193
14224,B,542,20.49193,20.49193
14224,C,542,20.49193,20.49193
14225,B,136,20.49193,20.49193
14225,C,136,20.49193,20.49193
14226,B,479,20.49193,20.49193
14226,C,479,20.49193,20.49193
14230,B,797,20.49193,20.49193
14230,C,797,20.49193,20.49193
14231,B,779,20.49193,20.49193
14231,C,779,20.49193,20.49193
14232,B,414,20.49193,20.49193
14232,C,414,20.49193,20.49193
14233,B,398,20.49193,20.49193
14233,C,398,20.49193,20.49193
14235,B,530,20.49193,20.49193
14235,C,530,20.49193,20.49193
14237,B,88,20.49193,20.49193
14237,C,88,20.49193,20.49193
14238,B,211,20.49193,20.49193
14238,C,211,20.49193,20.49193
14239,B,33,20.49193,20.49193
14239,C,33,20.49193,20.49193
14242,B,11,20.49193,20.49193
14242,C,11,20.49193,20.49193
14244,B,25,20.49193,20.49193
14244,C,25,20.49193,20.49193
14246,B,5,20.49193,20.49193
14246,C,5,20.49193,20.49193
14247,B,5,20.49193,20.49193
14247,C,5,20.49193,20.49193
14248,B,226,20.49193,20.49193
14248,C,226,20.49193,20.49193
14249,B,267,20.49193,20.49193
14249,C,267,20.49193,20.49193
14250,B,716,20.49193,20.49193
14250,C,716,20.49193,20.49193
14251,B,32,20.49193,20.49193
14251,C,32,20.49193,20.49193
14252,B,85,20.49193,20.49193
14252,C,85,20.49193,20.49193
14253,B,884,20.49193,20.49193
14253,C,884,20.49193,20.49193
14271,B,1167,20.49193,20.49193
14271,C,1167,20.49193,20.49193
14272,B,356,20.49193,20.49193
14272,C,356,20.49193,20.49193
14276,B,21,20.49193,20.49193
14276,C,21,20.49193,20.49193
14277,B,29,20.49193,20.49193
14277,C,29,20.49193,20.49193
14331,B,273,20.49193,20.49193
14331,C,273,20.49193,20.49193
14332,B,263,20.49193,20.49193
14332,C,263,20.49193,20.49193
14333,B,938,20.49193,20.49193
14333,C,938,20.49193,20.49193
14337,B,1407,20.49193,20.49193
14337,C,1407,20.49193,20.49193
14338,B,1108,20.49193,20.49193
14338,C,1108,20.49193,20.49193
14339,B,623,20.49193,20.49193
14339,C,623,20.49193,20.49193
14340,B,556,20.49193,20.49193
14340,C,556,20.49193,20.49193
14342,B,1245,20.49193,20.49193
14342,C,1245,20.49193,20.49193
14345,B,103,20.49193,20.49193
14345,C,103,20.49193,20.49193
14346,B,336,20.49193,20.49193
14346,C,336,20.49193,20.49193
