Annee,Mois,TauxFraude
2023,11,0.015337532749158105
2023,12,0.019777301812555242
2024,1,0.015651907582078087
2024,2,0.008466794942060665
2024,3,0.008507688891525431
2024,4,0.009484448856991836
2024,5,0.010168327671814711
2024,6,0.012012166591580815
2024,7,0.013160567296608822
2024,8,0.017624027404436665
2024,9,0.012535077798159417
2024,10,0.006040194988636802
2024,11,0.016898421584712223
2024,12,0.007692735859350465
2025,1,0.012835008929288943
2025,2,0.010157261773271874
2025,3,0.01103064180334067
2025,4,0.012233100803867804
2025,5,0.011037240454468886
2025,6,0.016583290267027637
2025,7,0.013268524938491162
2025,8,0.015567752918667894
2025,9,0.01510065463750901
2025,10,0.01808785301736984
